rsi_entry,rsi_exit,sl_mult,tp_mult,sma_len,atr_thresh,pnl,sharpe,max_drawdown,win_rate
5,40,0.25,1.5,30,1.0,-29.732783500000057,-481.04998207877526,-27.672356499999296,0.0
5,40,0.25,1.5,30,2.0,-46.82636100000009,-325.90720313984156,-44.765933999999106,0.0
5,40,0.25,1.5,30,3.0,-47.82660900000009,-286.37006260083126,-45.76618199999939,0.0
5,40,0.25,1.5,30,5.0,-47.82660900000009,-286.37006260083126,-45.76618199999939,0.0
5,40,0.25,1.5,50,1.0,-54.60792999999979,-493.9498587331112,-52.54762799999662,0.0
5,40,0.25,1.5,50,2.0,-82.12084199999966,-309.68112744779785,-80.06053999999858,2.380952380952381
5,40,0.25,1.5,50,3.0,-83.12108999999965,-286.8786293950248,-81.06078799999887,2.380952380952381
5,40,0.25,1.5,50,5.0,-88.59411999999962,-258.8733012343996,-86.53381799999624,2.3255813953488373
5,40,0.25,1.5,75,1.0,-71.7376789999998,-423.9251827509028,-69.67770299999756,0.0
5,40,0.25,1.5,75,2.0,-104.49796149999965,-326.1460849195419,-102.43798550000065,1.8867924528301887
5,40,0.25,1.5,75,3.0,-111.99338149999969,-315.1065932394135,-109.93340549999994,1.7857142857142856
5,40,0.25,1.5,75,5.0,-117.46641149999964,-285.9615817292783,-115.40643550000095,1.7543859649122806
5,40,0.25,1.5,100,1.0,-73.49515599999985,-405.5255775014286,-71.4351800000004,0.0
5,40,0.25,1.5,100,2.0,-114.33374749999976,-324.97545368064414,-112.2737715000003,1.7543859649122806
5,40,0.25,1.5,100,3.0,-121.8291674999998,-315.8198005063143,-119.76919149999958,1.6666666666666667
5,40,0.25,1.5,100,5.0,-127.30219749999975,-289.5830027210763,-125.2422215000006,1.639344262295082
5,40,0.25,2.0,20,1.0,-8.226224999999888,-489.2002217765666,-6.815870499998709,0.0
5,40,0.25,2.0,20,2.0,-18.469107499999915,-342.49857927767175,-17.05875300000116,0.0
5,40,0.25,2.0,20,3.0,-23.501041499999932,-257.3352788431519,-22.09068699999989,0.0
5,40,0.25,2.0,20,5.0,-23.501041499999932,-257.3352788431519,-22.09068699999989,0.0
5,40,0.25,2.0,30,1.0,-29.732783500000057,-481.04998207877526,-27.672356499999296,0.0
5,40,0.25,2.0,30,2.0,-46.82636100000009,-325.90720313984156,-44.765933999999106,0.0
5,40,0.25,2.0,30,3.0,-47.82660900000009,-286.37006260083126,-45.76618199999939,0.0
5,40,0.25,2.0,30,5.0,-47.82660900000009,-286.37006260083126,-45.76618199999939,0.0
5,40,0.25,2.0,50,1.0,-54.60792999999979,-493.9498587331112,-52.54762799999662,0.0
5,40,0.25,2.0,50,2.0,-82.12084199999966,-309.68112744779785,-80.06053999999858,2.380952380952381
5,40,0.25,2.0,50,3.0,-83.12108999999965,-286.8786293950248,-81.06078799999887,2.380952380952381
5,40,0.25,2.0,50,5.0,-88.59411999999962,-258.8733012343996,-86.53381799999624,2.3255813953488373
5,40,0.25,2.0,75,1.0,-71.7376789999998,-423.9251827509028,-69.67770299999756,0.0
5,40,0.25,2.0,75,2.0,-104.49796149999965,-326.1460849195419,-102.43798550000065,1.8867924528301887
5,40,0.25,2.0,75,3.0,-111.99338149999969,-315.1065932394135,-109.93340549999994,1.7857142857142856
5,40,0.25,2.0,75,5.0,-117.46641149999964,-285.9615817292783,-115.40643550000095,1.7543859649122806
5,40,0.25,2.0,100,1.0,-73.49515599999985,-405.5255775014286,-71.4351800000004,0.0
5,40,0.25,2.0,100,2.0,-114.33374749999976,-324.97545368064414,-112.2737715000003,1.7543859649122806
5,40,0.25,2.0,100,3.0,-121.8291674999998,-315.8198005063143,-119.76919149999958,1.6666666666666667
5,40,0.25,2.0,100,5.0,-127.30219749999975,-289.5830027210763,-125.2422215000006,1.639344262295082
5,40,0.5,0.25,20,1.0,-8.226224999999888,-489.2002217765666,-6.815870499998709,0.0
5,40,0.5,0.25,20,2.0,-18.469107499999915,-342.49857927767175,-17.05875300000116,0.0
5,40,0.5,0.25,20,3.0,-23.501041499999932,-257.3352788431519,-22.09068699999989,0.0
5,40,0.5,0.25,20,5.0,-23.501041499999932,-257.3352788431519,-22.09068699999989,0.0
5,40,0.5,0.25,30,1.0,-29.732783500000057,-481.04998207877526,-27.672356499999296,0.0
5,40,0.5,0.25,30,2.0,-46.82636100000009,-325.90720313984156,-44.765933999999106,0.0
5,40,0.5,0.25,30,3.0,-47.82660900000009,-286.37006260083126,-45.76618199999939,0.0
5,40,0.5,0.25,30,5.0,-47.82660900000009,-286.37006260083126,-45.76618199999939,0.0
5,40,0.5,0.25,50,1.0,-54.60792999999979,-493.9498587331112,-52.54762799999662,0.0
5,40,0.5,0.25,50,2.0,-82.12084199999966,-309.68112744779785,-80.06053999999858,2.380952380952381
5,40,0.5,0.25,50,3.0,-83.12108999999965,-286.8786293950248,-81.06078799999887,2.380952380952381
5,40,0.5,0.25,50,5.0,-88.59411999999962,-258.8733012343996,-86.53381799999624,2.3255813953488373
5,40,0.5,0.25,75,1.0,-71.7376789999998,-423.9251827509028,-69.67770299999756,0.0
5,40,0.5,0.25,75,2.0,-104.49796149999965,-326.1460849195419,-102.43798550000065,1.8867924528301887
5,40,0.5,0.25,75,3.0,-111.99338149999969,-315.1065932394135,-109.93340549999994,1.7857142857142856
5,40,0.5,0.25,75,5.0,-117.46641149999964,-285.9615817292783,-115.40643550000095,1.7543859649122806
5,40,0.5,0.25,100,1.0,-73.49515599999985,-405.5255775014286,-71.4351800000004,0.0
5,40,0.5,0.25,100,2.0,-114.33374749999976,-324.97545368064414,-112.2737715000003,1.7543859649122806
5,40,0.5,0.25,100,3.0,-121.8291674999998,-315.8198005063143,-119.76919149999958,1.6666666666666667
5,40,0.5,0.25,100,5.0,-127.30219749999975,-289.5830027210763,-125.2422215000006,1.639344262295082
5,40,0.5,0.5,20,1.0,-8.226224999999888,-489.2002217765666,-6.815870499998709,0.0
5,40,0.5,0.5,20,2.0,-18.469107499999915,-342.49857927767175,-17.05875300000116,0.0
5,40,0.5,0.5,20,3.0,-23.501041499999932,-257.3352788431519,-22.09068699999989,0.0
5,40,0.5,0.5,20,5.0,-23.501041499999932,-257.3352788431519,-22.09068699999989,0.0
5,40,0.5,0.5,30,1.0,-29.732783500000057,-481.04998207877526,-27.672356499999296,0.0
5,40,0.5,0.5,30,2.0,-46.82636100000009,-325.90720313984156,-44.765933999999106,0.0
5,40,0.5,0.5,30,3.0,-47.82660900000009,-286.37006260083126,-45.76618199999939,0.0
5,40,0.5,0.5,30,5.0,-47.82660900000009,-286.37006260083126,-45.76618199999939,0.0
5,40,0.5,0.5,50,1.0,-54.60792999999979,-493.9498587331112,-52.54762799999662,0.0
5,40,0.5,0.5,50,2.0,-82.12084199999966,-309.68112744779785,-80.06053999999858,2.380952380952381
5,40,0.5,0.5,50,3.0,-83.12108999999965,-286.8786293950248,-81.06078799999887,2.380952380952381
5,40,0.5,0.5,50,5.0,-88.59411999999962,-258.8733012343996,-86.53381799999624,2.3255813953488373
5,40,0.5,0.5,75,1.0,-71.7376789999998,-423.9251827509028,-69.67770299999756,0.0
5,40,0.5,0.5,75,2.0,-104.49796149999965,-326.1460849195419,-102.43798550000065,1.8867924528301887
5,40,0.5,0.5,75,3.0,-111.99338149999969,-315.1065932394135,-109.93340549999994,1.7857142857142856
5,40,0.5,0.5,75,5.0,-117.46641149999964,-285.9615817292783,-115.40643550000095,1.7543859649122806
5,40,0.5,0.5,100,1.0,-73.49515599999985,-405.5255775014286,-71.4351800000004,0.0
5,40,0.5,0.5,100,2.0,-114.33374749999976,-324.97545368064414,-112.2737715000003,1.7543859649122806
5,40,0.5,0.5,100,3.0,-121.8291674999998,-315.8198005063143,-119.76919149999958,1.6666666666666667
5,40,0.5,0.5,100,5.0,-127.30219749999975,-289.5830027210763,-125.2422215000006,1.639344262295082
5,40,0.5,0.75,20,1.0,-8.226224999999888,-489.2002217765666,-6.815870499998709,0.0
5,40,0.5,0.75,20,2.0,-18.469107499999915,-342.49857927767175,-17.05875300000116,0.0
5,40,0.5,0.75,20,3.0,-23.501041499999932,-257.3352788431519,-22.09068699999989,0.0
5,40,0.5,0.75,20,5.0,-23.501041499999932,-257.3352788431519,-22.09068699999989,0.0
5,40,0.5,0.75,30,1.0,-29.732783500000057,-481.04998207877526,-27.672356499999296,0.0
5,40,0.5,0.75,30,2.0,-46.82636100000009,-325.90720313984156,-44.765933999999106,0.0
5,40,0.5,0.75,30,3.0,-47.82660900000009,-286.37006260083126,-45.76618199999939,0.0
5,40,0.5,0.75,30,5.0,-47.82660900000009,-286.37006260083126,-45.76618199999939,0.0
5,40,0.5,0.75,50,1.0,-54.60792999999979,-493.9498587331112,-52.54762799999662,0.0
5,40,0.5,0.75,50,2.0,-82.12084199999966,-309.68112744779785,-80.06053999999858,2.380952380952381
5,40,0.5,0.75,50,3.0,-83.12108999999965,-286.8786293950248,-81.06078799999887,2.380952380952381
5,40,0.5,0.75,50,5.0,-88.59411999999962,-258.8733012343996,-86.53381799999624,2.3255813953488373
5,40,0.5,0.75,75,1.0,-71.7376789999998,-423.9251827509028,-69.67770299999756,0.0
5,40,0.5,0.75,75,2.0,-104.49796149999965,-326.1460849195419,-102.43798550000065,1.8867924528301887
5,40,0.5,0.75,75,3.0,-111.99338149999969,-315.1065932394135,-109.93340549999994,1.7857142857142856
5,40,0.5,0.75,75,5.0,-117.46641149999964,-285.9615817292783,-115.40643550000095,1.7543859649122806
5,40,0.5,0.75,100,1.0,-73.49515599999985,-405.5255775014286,-71.4351800000004,0.0
5,40,0.5,0.75,100,2.0,-114.33374749999976,-324.97545368064414,-112.2737715000003,1.7543859649122806
5,40,0.5,0.75,100,3.0,-121.8291674999998,-315.8198005063143,-119.76919149999958,1.6666666666666667
5,40,0.5,0.75,100,5.0,-127.30219749999975,-289.5830027210763,-125.2422215000006,1.639344262295082
5,40,0.5,1.0,20,1.0,-8.226224999999888,-489.2002217765666,-6.815870499998709,0.0
5,40,0.5,1.0,20,2.0,-18.469107499999915,-342.49857927767175,-17.05875300000116,0.0
5,40,0.5,1.0,20,3.0,-23.501041499999932,-257.3352788431519,-22.09068699999989,0.0
5,40,0.5,1.0,20,5.0,-23.501041499999932,-257.3352788431519,-22.09068699999989,0.0
5,40,0.5,1.0,30,1.0,-29.732783500000057,-481.04998207877526,-27.672356499999296,0.0
5,40,0.5,1.0,30,2.0,-46.82636100000009,-325.90720313984156,-44.765933999999106,0.0
5,40,0.5,1.0,30,3.0,-47.82660900000009,-286.37006260083126,-45.76618199999939,0.0
5,40,0.5,1.0,30,5.0,-47.82660900000009,-286.37006260083126,-45.76618199999939,0.0
5,40,0.5,1.0,50,1.0,-54.60792999999979,-493.9498587331112,-52.54762799999662,0.0
5,40,0.5,1.0,50,2.0,-82.12084199999966,-309.68112744779785,-80.06053999999858,2.380952380952381
5,40,0.5,1.0,50,3.0,-83.12108999999965,-286.8786293950248,-81.06078799999887,2.380952380952381
5,40,0.5,1.0,50,5.0,-88.59411999999962,-258.8733012343996,-86.53381799999624,2.3255813953488373
5,40,0.5,1.0,75,1.0,-71.7376789999998,-423.9251827509028,-69.67770299999756,0.0
5,40,0.5,1.0,75,2.0,-104.49796149999965,-326.1460849195419,-102.43798550000065,1.8867924528301887
5,40,0.5,1.0,75,3.0,-111.99338149999969,-315.1065932394135,-109.93340549999994,1.7857142857142856
5,40,0.5,1.0,75,5.0,-117.46641149999964,-285.9615817292783,-115.40643550000095,1.7543859649122806
5,40,0.5,1.0,100,1.0,-73.49515599999985,-405.5255775014286,-71.4351800000004,0.0
5,40,0.5,1.0,100,2.0,-114.33374749999976,-324.97545368064414,-112.2737715000003,1.7543859649122806
5,40,0.5,1.0,100,3.0,-121.8291674999998,-315.8198005063143,-119.76919149999958,1.6666666666666667
5,40,0.5,1.0,100,5.0,-127.30219749999975,-289.5830027210763,-125.2422215000006,1.639344262295082
5,40,0.5,1.25,20,1.0,-8.226224999999888,-489.2002217765666,-6.815870499998709,0.0
5,40,0.5,1.25,20,2.0,-18.469107499999915,-342.49857927767175,-17.05875300000116,0.0
5,40,0.5,1.25,20,3.0,-23.501041499999932,-257.3352788431519,-22.09068699999989,0.0
5,40,0.5,1.25,20,5.0,-23.501041499999932,-257.3352788431519,-22.09068699999989,0.0
5,40,0.5,1.25,30,1.0,-29.732783500000057,-481.04998207877526,-27.672356499999296,0.0
5,40,0.5,1.25,30,2.0,-46.82636100000009,-325.90720313984156,-44.765933999999106,0.0
5,40,0.5,1.25,30,3.0,-47.82660900000009,-286.37006260083126,-45.76618199999939,0.0
5,40,0.5,1.25,30,5.0,-47.82660900000009,-286.37006260083126,-45.76618199999939,0.0
5,40,0.5,1.25,50,1.0,-54.60792999999979,-493.9498587331112,-52.54762799999662,0.0
5,40,0.5,1.25,50,2.0,-82.12084199999966,-309.68112744779785,-80.06053999999858,2.380952380952381
5,40,0.5,1.25,50,3.0,-83.12108999999965,-286.8786293950248,-81.06078799999887,2.380952380952381
5,40,0.5,1.25,50,5.0,-88.59411999999962,-258.8733012343996,-86.53381799999624,2.3255813953488373
5,40,0.5,1.25,75,1.0,-71.7376789999998,-423.9251827509028,-69.67770299999756,0.0
5,40,0.5,1.25,75,2.0,-104.49796149999965,-326.1460849195419,-102.43798550000065,1.8867924528301887
5,40,0.5,1.25,75,3.0,-111.99338149999969,-315.1065932394135,-109.93340549999994,1.7857142857142856
5,40,0.5,1.25,75,5.0,-117.46641149999964,-285.9615817292783,-115.40643550000095,1.7543859649122806
5,40,0.5,1.25,100,1.0,-73.49515599999985,-405.5255775014286,-71.4351800000004,0.0
5,40,0.5,1.25,100,2.0,-114.33374749999976,-324.97545368064414,-112.2737715000003,1.7543859649122806
5,40,0.5,1.25,100,3.0,-121.8291674999998,-315.8198005063143,-119.76919149999958,1.6666666666666667
5,40,0.5,1.25,100,5.0,-127.30219749999975,-289.5830027210763,-125.2422215000006,1.639344262295082
5,40,0.5,1.5,20,1.0,-8.226224999999888,-489.2002217765666,-6.815870499998709,0.0
5,40,0.5,1.5,20,2.0,-18.469107499999915,-342.49857927767175,-17.05875300000116,0.0
5,40,0.5,1.5,20,3.0,-23.501041499999932,-257.3352788431519,-22.09068699999989,0.0
5,40,0.5,1.5,20,5.0,-23.501041499999932,-257.3352788431519,-22.09068699999989,0.0
5,40,0.5,1.5,30,1.0,-29.732783500000057,-481.04998207877526,-27.672356499999296,0.0
5,40,0.5,1.5,30,2.0,-46.82636100000009,-325.90720313984156,-44.765933999999106,0.0
5,40,0.5,1.5,30,3.0,-47.82660900000009,-286.37006260083126,-45.76618199999939,0.0
5,40,0.5,1.5,30,5.0,-47.82660900000009,-286.37006260083126,-45.76618199999939,0.0
5,40,0.5,1.5,50,1.0,-54.60792999999979,-493.9498587331112,-52.54762799999662,0.0
5,40,0.5,1.5,50,2.0,-82.12084199999966,-309.68112744779785,-80.06053999999858,2.380952380952381
5,40,0.5,1.5,50,3.0,-83.12108999999965,-286.8786293950248,-81.06078799999887,2.380952380952381
5,40,0.5,1.5,50,5.0,-88.59411999999962,-258.8733012343996,-86.53381799999624,2.3255813953488373
5,40,0.5,1.5,75,1.0,-71.7376789999998,-423.9251827509028,-69.67770299999756,0.0
5,40,0.5,1.5,75,2.0,-104.49796149999965,-326.1460849195419,-102.43798550000065,1.8867924528301887
5,40,0.5,1.5,75,3.0,-111.99338149999969,-315.1065932394135,-109.93340549999994,1.7857142857142856
5,40,0.5,1.5,75,5.0,-117.46641149999964,-285.9615817292783,-115.40643550000095,1.7543859649122806
5,40,0.5,1.5,100,1.0,-73.49515599999985,-405.5255775014286,-71.4351800000004,0.0
5,40,0.5,1.5,100,2.0,-114.33374749999976,-324.97545368064414,-112.2737715000003,1.7543859649122806
5,40,0.5,1.5,100,3.0,-121.8291674999998,-315.8198005063143,-119.76919149999958,1.6666666666666667
5,40,0.5,1.5,100,5.0,-127.30219749999975,-289.5830027210763,-125.2422215000006,1.639344262295082
5,40,0.5,2.0,20,1.0,-8.226224999999888,-489.2002217765666,-6.815870499998709,0.0
5,40,0.5,2.0,20,2.0,-18.469107499999915,-342.49857927767175,-17.05875300000116,0.0
5,40,0.5,2.0,20,3.0,-23.501041499999932,-257.3352788431519,-22.09068699999989,0.0
5,40,0.5,2.0,20,5.0,-23.501041499999932,-257.3352788431519,-22.09068699999989,0.0
5,40,0.5,2.0,30,1.0,-29.732783500000057,-481.04998207877526,-27.672356499999296,0.0
5,40,0.5,2.0,30,2.0,-46.82636100000009,-325.90720313984156,-44.765933999999106,0.0
5,40,0.5,2.0,30,3.0,-47.82660900000009,-286.37006260083126,-45.76618199999939,0.0
5,40,0.5,2.0,30,5.0,-47.82660900000009,-286.37006260083126,-45.76618199999939,0.0
5,40,0.5,2.0,50,1.0,-54.60792999999979,-493.9498587331112,-52.54762799999662,0.0
5,40,0.5,2.0,50,2.0,-82.12084199999966,-309.68112744779785,-80.06053999999858,2.380952380952381
5,40,0.5,2.0,50,3.0,-83.12108999999965,-286.8786293950248,-81.06078799999887,2.380952380952381
